mr_id,input_id,subtask,source_text,source_label,followup_text,expected_output_relation,variant,skip_reason
CHR-GEN-005,imdb-295,SA,"This movie is proof you can't just go to a Redbox and read descriptions of films and pick one and give it a try.<br /><br />While I'll give 'em great credit for having produced a film with halfway-decent special effects on such a low budget, and at least a halfway decent script and story line... unfortunately, it was only just that: halfway decent.<br /><br />If you like movies where things aren't all neatly wrapped up, and don't mind low-budget effects, you might like this film. Honestly, it wasn't really my cup of tea. I should've just gone to bed rather than spend my time watching.<br /><br />For a better science-fiction movie produced on an even LOWER budget (!) have a look at ""Primer.""",0,"This movie is proof you ca n't ju st go to a Redbox and read descriptions of films and pick one and give it a t ry.<br / ><br />Wh ile I' ll give 'em great cre dit for having produced a film with halfway-decent special effects on such a low bu dget, and at l east a hal fway d ecent script and s tory line... unfortunately, it was on ly j ust that: halfway decent.<br /><br />If you li ke movies where thi ngs are n't all neatly wrapped up, and don't mind low-budget effects, you might like t his film. Honestly, it wasn't really my cup of tea. I should've just gone to bed rather than spend my time watching.<br />< br />For a bett er science-f iction movie produced on an even LOWER budget (!) h ave a lo ok at "" Primer.""",label_unchanged,,
CHR-GEN-005,imdb-10521,SA,I was actually looking forward to this movie. The commercials made it look real cool and action packed. And I heard that Claire Daines' character was arrested for assault so I thought that maybe she would kick a lot of ass and that would be cool. BUT NOOOOOOOO!!. Their was hardly any action at all and the character were all kinda bland. The only saving grace was Omar Epps and even he didn't help this movie much.,0,I was actually lo oking fo rward to this movie. The commercia ls m ade it l ook re al cool and action packed. And I heard that Cl aire Dain es' character was arres ted for assault so I thought that maybe she would kick a lot of ass and that would be cool. BUT NOO OOOOOO!!. Their was hardly any action at all and the character were all kinda b land. The only sa ving grace was Omar Epps and ev en he didn't help th is movie much.,label_unchanged,,
CHR-GEN-005,imdb-7102,SA,"Maybe it's because I'm no fan of the comics (but if the comics are of the same ""quality"" as the movie, it's hard to believe there are any), but this has to be one of the worst movies ever made. Non-existent plot, laughable acting, dumb dialogue... This movie is so bad that it hurts. A lot. That some people actually gave this one 10/10 is an insult to any good or at least mediocre (or at least bad) movie. If you hate yourself, then watch Tank Girl! On another thought, if you hate yourself THAT much, maybe you should just commit suicide... My rating: -34/10",0,"Maybe i t's be cause I'm no fan of the comics (but if the co mics are of the s ame ""qual ity"" as the m ovie, it's hard to believe there are any), but this has to be one of the wor st movi es ever m ade. Non-existent plot, laughable acting, dumb dialogue... This movie is so bad that it hu rts. A lot. That some people actually gave this one 10/ 10 is an insult to any good or at le ast mediocre (or at least bad) m ovie. If you hate yourself, t hen watch Tank Girl! On anot her thought, if you hate yourself TH AT much, maybe you should just com mit su icide... My rating: -34/10",label_unchanged,,
CHR-GEN-005,imdb-20957,SA,"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought provoking scenes. Just plain old college kids having fun and if a few breasts have to be shown, then so be it! This movie is for when you just want to relax and NOT think. Viva la nudity!",1,"T his HAS to be my gu ilty pleas ure. I am a HUGE fan of 80's m ovies t hat we re de signed to entertain and they didn't care if they offe nded any one. This m ove has no meat, not substance, no deep thought provoking scenes. Just plain old college k ids having fun and if a few breasts have to be sho wn, then so be it! This movie is for when you just want to relax and NOT think. Vi va la nudity!",label_unchanged,,
CHR-GEN-005,imdb-749,SA,"Compared to the recent gore flick HOSTEL, which this movie reminded me a lot of-- I would say that See No Evil is slightly better but not by much. The very complex plot involves a handful of delinquents who are sent to clean up a rundown hotel for a shorter jail sentence. The kids soon end up being killed off by a lumbering religious psychopath who is cleansing them of their sins (I guess). The one thing I dreaded most prior to seeing this was the fact that it stared a WWE wrestler, Kane. He ended up doing a decent job considering he only had 2 one-word lines in the movie. There are a couple fairly gory moments, mainly involving eye-gouging and a quite memorable scene in which a girl gets a cellphone shoved down her throat-- probably the most effective demise in the movie.<br /><br />I can't say that this movie really shows us anything new and is definitely far from great. Can't recommend it.",0,"Compar ed to the recent gore fl ick HOS TEL, which this movie reminded me a lot of-- I would say th at See No Evil is sl ightly be tter but not by much. The very com plex plot involves a h andful of delinquents who are sent to clean up a rundown h otel for a shorter ja il s entence. The ki ds soon end up be ing killed off by a lumbering religious psych opath who is cleansing them of their sins (I guess). The one thing I dreaded most prior to seeing this was the fact that it stared a WWE wrestler, Kane. He ended up d oing a dece nt job considering he only had 2 one-w ord lines in the movie. There are a couple fairly gory m oments, mainly involving eye-gouging and a quite memo rable scene in w hich a girl gets a cellphone sho ved down her throat-- probably the most effective dem ise in the movie.<br /><br />I can't say t hat t his m ovie really shows us anythi ng new and is definitely far f rom gr eat. Can't r ecommend it.",label_unchanged,,
CHR-GEN-005,imdb-18085,SA,"Treading Water is a very beautiful movie. I would put it straight under the wonderful short movie : Cosa bella from Fiona MacKenzie. It's not only about coming out but also about tolerance and acceptance in general. I am looking forward to seeing more of Laurel Himmel's work in the future. The actors, Angie Redman and Nina Landey are quite good. The main characters relationship could have been strenghtened a bit as we understand there is a very strong bond between them but maybe this could have been explained a bit. I am surprised that Angie Redman doesn't appear much in other movies. A great first step as a director for Laurel Himmel, I am sure there's more to see from her skills.",1,"Treading Water is a very be autiful mo vie. I would put it straight under the wonderful short movie : Co sa b ella f rom Fio na MacKenzie. It's not on ly about coming out but also about tolerance and acceptance in general. I am looking for ward to see ing m ore of La urel Himmel's wo rk in the future. The actors, A ngie R edman and Nina Landey are quite good. The main charact ers relationship could h ave be en strenghtened a bit as we understand there is a very strong bond between them but ma ybe this could have been explained a bit. I am surprised that Angie Redman doesn 't appear much in other mov ies. A g reat first st ep as a director for Laurel Himmel, I am sure there's m ore to see fr om her skills.",label_unchanged,,
CHR-GEN-005,imdb-19313,SA,"So the Koreans are now knocking off American horror flicks. But they are doing so with style. DOLL MASTER is a close copy of PUPPETMASTER and DOLLS, and even has a little CHILD'S PLAY going for it. Several young adults are invited to attend a special event at a gallery filled with dolls, only to find they are targets of a vengeful spirit. The dolls come to life and do some pretty nasty things to the kids. The gore level is reasonably high, the photography and set design and production values are first rate, the acting isn't all that bad, and the scares are definitely there. DOLL MASTER may not be in the same league with A TALE OF TWO SISTERS or even DEAD FRIEND, but it's close. Give it a watch. You won't be disappointed.",1,"So the Koreans are now knock ing off American horr or fl icks. But they are doing so with style. DOLL MASTER is a cl ose co py of P UPPETMASTER and D OLLS, and even has a little CHIL D'S PLAY going for it. Several young adults are invited to attend a special event at a gal lery fil led with dolls, o nly to f ind they are targets of a ven geful spirit. The dolls c ome to life and do some p retty nasty things to the ki ds. The g ore level is reasonably high, the photography and set design and production values are first ra te, the acting isn't all that bad, and the scares are definitely there. DOLL MASTER may not be in the same league with A TALE OF TWO SISTERS or ev en DE AD FRIEND, but it's close. Give it a w atch. You won 't be disappoi nted.",label_unchanged,,
CHR-GEN-005,imdb-14670,SA,"A wonderful Christmas story on the moving theme of ""Susie Homemaker finds her Inner Amazon."" No, I'm serious! Geena Davis's amnesia starts to improve when she is knocked on the head. From this familiar beginning, we move in an unexpected direction. Good pace, good action, fun story, lots of explosions and mayhem.",1,"A wonderful Chris tmas story on the m oving the me of ""Susie Homemaker fi nds her Inner Amazon."" No, I'm serious! Geena Davis's amnesia starts to improve when she is k nocked on the head. From this f amiliar beginning, we m ove in an unexpected direction. Good p ace, good action, fun s tory, lots of explosions and m ayhem.",label_unchanged,,
CHR-GEN-005,imdb-19784,SA,"The second film about the adventures of the Gaulois pair Asterix & Obelix is 10 times better than the first. The humor is great (and irreverant) and the script is well executed taken from the original 1965 comic book by Goscinny & Uderzo. I fell asleep with the first film (although i am a great fan of Asterix) and was reluctant to see this sequel, but i am glad this movie proved me wrong. Excellent comedy for everyone. Highly Recommended!",1,"The second f ilm a bout the adventures of the Gaulois p air Aster ix & Ob elix is 10 tim es better than the first. The humor is great (a nd irre verant) and the script is we ll executed taken from the original 1965 comic book by Goscinny & Uderzo. I fell asl eep with the first film (although i am a great fan of Asterix) and was relucta nt to see this sequel, but i am g lad this movie pr oved me wrong. Excellent comedy for everyo ne. Highly Recommended!",label_unchanged,,
CHR-GEN-005,imdb-21155,SA,"with what they had. John and Carolyn were very private so the writers had to put together what they could. I really liked Portia de Rossi as Carolyn, but Jacqueline Bisset's voice grated on my nerves. She should have used her regular voice. I would have preferred that the whole movie focus on John and Carolyn instead of rehashing stuff we already know about John.",1,"with w hat t hey had. John and Carolyn w ere v ery priva te so the wr iters had to put together what they could. I really lik ed Port ia de Rossi as Ca rolyn, but Jacqueline Bisset's voice grated on my nerves. She should have used her regular vo ice. I would have preferred that the whole movie foc us on John and Carolyn instead of rehashing stuff we alr eady k now about John.",label_unchanged,,
