model_version,mr_id,input_id,variant,source_pred_label,source_pred_score,followup_pred_label,followup_pred_score,mr_pass,fairness_regression,timestamp
stable,CHR-GEN-005,imdb-295,,0,0.6506133675575256,0,0.6360847353935242,True,False,2026-04-10T19:57:25.279943+00:00
stable,CHR-GEN-005,imdb-10521,,0,0.6228316426277161,0,0.635310709476471,True,False,2026-04-10T19:57:25.316056+00:00
stable,CHR-GEN-005,imdb-7102,,0,0.6392112374305725,0,0.6465602517127991,True,False,2026-04-10T19:57:25.304086+00:00
stable,CHR-GEN-005,imdb-20957,,0,0.6025651097297668,0,0.6205630302429199,True,False,2026-04-10T19:57:25.353863+00:00
stable,CHR-GEN-005,imdb-749,,0,0.6357271075248718,0,0.6491446495056152,True,False,2026-04-10T19:57:25.281584+00:00
stable,CHR-GEN-005,imdb-18085,,0,0.6212887167930603,0,0.6300923228263855,True,False,2026-04-10T19:57:25.343352+00:00
stable,CHR-GEN-005,imdb-19313,,0,0.6281623244285583,0,0.6233540773391724,True,False,2026-04-10T19:57:25.347619+00:00
stable,CHR-GEN-005,imdb-14670,,0,0.6134161353111267,0,0.6227768659591675,True,False,2026-04-10T19:57:25.331351+00:00
stable,CHR-GEN-005,imdb-19784,,1,0.728588342666626,1,0.6577084064483643,False,False,2026-04-10T19:57:25.349245+00:00
stable,CHR-GEN-005,imdb-21155,,0,0.6101442575454712,0,0.6269829273223877,True,False,2026-04-10T19:57:25.354557+00:00
stable,CHR-GEN-005,imdb-10470,,0,0.638497531414032,0,0.6463314294815063,True,False,2026-04-10T19:57:25.315888+00:00
stable,CHR-GEN-005,imdb-15807,,0,0.5338176488876343,0,0.5239517688751221,True,False,2026-04-10T19:57:25.335351+00:00
stable,CHR-GEN-005,imdb-7494,,0,0.6190623044967651,0,0.6460511684417725,True,False,2026-04-10T19:57:25.305426+00:00
stable,CHR-GEN-005,imdb-6127,,0,0.6136379837989807,0,0.6404502987861633,True,False,2026-04-10T19:57:25.300584+00:00
stable,CHR-GEN-005,imdb-11456,,1,0.7377118468284607,1,0.6812673807144165,False,False,2026-04-10T19:57:25.319362+00:00
stable,CHR-GEN-005,imdb-8981,,0,0.6215850114822388,0,0.5523019433021545,False,False,2026-04-10T19:57:25.310675+00:00
stable,CHR-GEN-005,imdb-12787,,0,0.61789470911026,0,0.6305539011955261,True,False,2026-04-10T19:57:25.324681+00:00
stable,CHR-GEN-005,imdb-19886,,1,0.608771026134491,0,0.535548210144043,False,False,2026-04-10T19:57:25.349615+00:00
stable,CHR-GEN-005,imdb-1010,,1,0.7533202767372131,1,0.7242468595504761,True,False,2026-04-10T19:57:25.282512+00:00
stable,CHR-GEN-005,imdb-1711,,0,0.6344782710075378,0,0.64349764585495,True,False,2026-04-10T19:57:25.284959+00:00
stable,CHR-GEN-005,imdb-1279,,0,0.6215456128120422,0,0.6285851001739502,True,False,2026-04-10T19:57:25.283435+00:00
stable,CHR-GEN-005,imdb-1513,,0,0.6093416810035706,0,0.6320438981056213,True,False,2026-04-10T19:57:25.284293+00:00
stable,CHR-GEN-005,imdb-10939,,1,0.5839025378227234,0,0.5594640970230103,False,False,2026-04-10T19:57:25.317523+00:00
stable,CHR-GEN-005,imdb-19749,,0,0.5876410007476807,0,0.6389627456665039,False,False,2026-04-10T19:57:25.349110+00:00
stable,CHR-GEN-005,imdb-6865,,0,0.6296602487564087,0,0.6276544332504272,True,False,2026-04-10T19:57:25.303229+00:00
